"name,""barcode"",""price"""
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7"""
"SUSHI SURTIDO SIN GLUTEN (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U - 300 G,""08410063082622"",""9.95"""
"SUSHI SURTIDO (16 NIGUIRIS, 12 ROLL, 12 MAKIS Y 8 SASHIMIS) (ENTREGAS VIERNES, SABADOS Y VISPERAS FESTIVOS) *NOVEDAD*, OMAKASE, BANDEJA 48 U - 950 G,""08410063082523"",""31.95"""
"SUSHI SURTIDO (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U- 288 G,""08410063082479"",""8.95"""
"SUSHI TARTAR CON PESCADO CRUDO (ATUN, CEBOLLINO, CEBOLLA Y SESAMO) *NOVEDAD*, OMAKASE, BANDEJA 160 G,""08410063082585"",""5.75"""
"ALGA NORI SECA (PARA HACER SUSHI), TAIKOBAN, PAQUETE 6 HOJAS - 15 G,""."",""1.50"""
"ARROZ ESPECIAL SUSHI, HACENDADO, PAQUETE 500 G,""08480000050373"",""1.25"""
"ENSALADA DE WAKAME CONGELADA, , PAQUETE 125 G,""08480000693839"",""1.25"""
"JENGIBRE MOLIDO (TAPON ROJO), HACENDADO, TARRO 49 G,""08480000341495"",""1.10"""
"SALSA SOJA (PARA SUSHI) ***NOVEDAD***, LEROY, PAQUETE 4 MONODOSIS - 26 G,""08436550541557"",""0.90"""
"SALSA SOJA SALADA, HACENDADO, BOTELLA 250 CC,""04006824005715"",""1.35"""
"SOPA INSTANTANEA MISO (CON ALGA WAKAME), , PAQUETE 3 SOBRES - 78,6 G,""08480000800572"",""1.45"""
"SUSHI KIT (PALILLOS, SALSA WASABI, SALSA DE SOJA Y BANDEJA PARA SALSA) *NOVEDAD*, LEROY, U,""08436550541465"",""1.0"""
"WASABI (PARA SUSHI) ***NOVEDAD***, LEROY, PAQUETE 4 MONODOSIS - 10 G,""08436550541540"",""0.90"""
"ACEITE DE AGUACATE, ETHNOS, BOTELLA 250 CC,""08004275080653"",""5.00"""
"ACEITE DE COCO, NAT SANNO, BOTE 450 CC,""08436542193474"",""4.50"""
"ACEITE GIRASOL TAPON AMARILLO ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 L,""08480000040411"",""4.79"""
"ACEITE GIRASOL TAPON AMARILLO, HACENDADO, BOTELLA 1 L,""08480000040404"",""0.9"""
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7"""
"ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, GARRAFA 5 L,""08480000046413"",""12.95"""
"ACEITE OLIVA SABOR SUAVE TAPON ROJO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000042408"",""2.7"""
"ACEITE OLIVA SABOR SUAVE (TAPON ROJO) ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 L,""08480000042415"",""12.95"""
"ACEITE OLIVA VIRGEN EXTRA GRAN SELECCION (TAPON DOSIFICADOR), HACENDADO, BOTELLA CRISTAL 750 CC,""08480000047069"",""3.69"""
"ACEITE OLIVA VIRGEN EXTRA MONODOSIS, HACENDADO, TARRINAS PACK 10 X 10 CC - 100 CC,""08480000047205"",""1.35"""
"ACEITE OLIVA VIRGEN EXTRA SPRAY, HACENDADO, BOTE 200 CC,""08480000047182"",""2.15"""
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000047403"",""3.5"""
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 L,""08480000047175"",""9.97"""
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***SUJETO A DISPONIBILIDAD*** ***BAJADA PVP PENINSULA Y BALEARES***, EMINENTE, GARRAFA 5 L,""08422881001495"",""14.95"""
